"","NYHAClass","variable","mean","sd","sem","median","q1","q3","n"
"364","II","StepData.StdErrDailyMinimumSteps",0,0,0,0,0,0,35
"365","III","StepData.StdErrDailyMinimumSteps",0,0,0,0,0,0,15
"367","II","StepData.MaximumDailyModeSteps",0,0,0,0,0,0,35
"368","III","StepData.MaximumDailyModeSteps",0,0,0,0,0,0,15
"370","II","StepData.MeanDailyModeSteps",0,0,0,0,0,0,35
"371","III","StepData.MeanDailyModeSteps",0,0,0,0,0,0,15
"373","II","StepData.ModeDailyModeSteps",0,0,0,0,0,0,35
"374","III","StepData.ModeDailyModeSteps",0,0,0,0,0,0,15
"376","II","StepData.MinimumDailyModeSteps",0,0,0,0,0,0,35
"377","III","StepData.MinimumDailyModeSteps",0,0,0,0,0,0,15
"379","II","StepData.StdDevDailyModeSteps",0,0,0,0,0,0,35
"380","III","StepData.StdDevDailyModeSteps",0,0,0,0,0,0,15
"382","II","StepData.StdErrDailyModeSteps",0,0,0,0,0,0,35
"383","III","StepData.StdErrDailyModeSteps",0,0,0,0,0,0,15
"385","II","StepData.MaximumDailyIQR",2.38571428571429,5.53874815210414,0.936219313324104,0,0,2.5,35
"386","III","StepData.MaximumDailyIQR",1.86666666666667,3.41983012666391,0.882996341828515,0,0,2,15
"388","II","StepData.MeanDailyIQR",0.380204081632653,0.885957989466674,0.149754232861696,0,0,0.160714285714286,35
"389","III","StepData.MeanDailyIQR",0.250420168067227,0.641147913313374,0.165543679381222,0,0,0.142857142857143,15
"391","II","StepData.ModeDailyIQR",0,0,0,0,0,0,35
"392","III","StepData.ModeDailyIQR",0,0,0,0,0,0,15
"394","II","StepData.MinimumDailyIQR",0,0,0,0,0,0,35
"395","III","StepData.MinimumDailyIQR",0,0,0,0,0,0,15
"397","II","StepData.StdDevDailyIQR",0.712471934906903,1.48165273751133,0.250445023027571,0,0,0.633630620956212,35
"398","III","StepData.StdDevDailyIQR",0.589576990419688,1.17523264425092,0.303443763940209,0,0,0.53452248382485,15
"400","II","StepData.StdErrDailyIQR",0.1775155876774,0.356432141417011,0.0602480281681166,0,0,0.160714285714286,35
"401","III","StepData.StdErrDailyIQR",0.150923262766505,0.293612557010189,0.0758104362358557,0,0,0.142857142857143,15
"403","II","StepData.MaximumDailySkewness",12.6012581923813,10.0150493679314,2.04431339168459,8.83392631797213,5.79062178724392,14.251077492895,24
"404","III","StepData.MaximumDailySkewness",11.6769408443396,8.26219139354319,2.61273432678371,8.51386064718448,5.7319437887533,12.5614978052529,10
"406","II","StepData.MeanDailySkewness",5.26276761087132,1.34841837716445,0.275244748653722,4.88840295030741,4.16468733409366,6.51386813220798,24
"407","III","StepData.MeanDailySkewness",5.60022643621149,1.80478314966455,0.570722543563253,5.06479647102402,4.20378112164446,6.35480552864506,10
"409","II","StepData.ModeDailySkewness",7.59587505695701,7.42985759526843,1.35650020132654,4.82550984848996,3.59265134028332,9.17656801128464,30
"410","III","StepData.ModeDailySkewness",10.870971235485,10.9725994715479,3.16751662930406,5.86911894116971,4.7982456385589,10.2856404818865,12
